_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,comments,describe_why_this_is_not_annotatable,not_annotatable,please_explain_the_revisions_write_na_if_not_annotatable,aligned,id,original,revised
3473343675,7/10/2023 20:44:31,6661747361,7/10/2023 20:44:08,False,cf_internal,1.0,46914346,US,Louisiana,New Orleans,141.164.29.205,,,,"- Spelling of ""center"" changed to reflect American English convention.",Bromley town center is the most beautiful shopping {centre=>center} in South East London .,fce_dev_267,Bromley town center is the most beautiful shopping centre in South East London .,Bromley town center is the most beautiful shopping center in South East London .
3473343676,7/2/2023 18:17:53,6659116896,7/2/2023 18:15:37,False,cf_internal,1.0,46799689,ES,Catalonia,Barcelona,85.54.52.152,,,,"- A comma was inserted after 2013 in order to indicate the end of the introductory clause. An introductory clause must be followed by a comma if it is four words or more. 
- ""He"" was inserted because a subject was needed to complete the phrase.","In the season 2012 / 2013 {=>,} he was on loan in FC Wohlen when {=>he} scored 7 goals .",wiki_dev_101,In the season 2012 / 2013 he was on loan in FC Wohlen when scored 7 goals .,"In the season 2012 / 2013 , he was on loan in FC Wohlen when he scored 7 goals ."
3473343677,7/10/2023 17:55:45,6661726869,7/10/2023 17:55:12,False,cf_internal,1.0,46282460,US,North Carolina,Durham,45.37.101.164,,,,"-This stylistic edit makes the sentence less repetitive because ""new"" has already been used.","And as new discoveries bring {new=>more} discoveries , progress is going faster and faster .",fce_test_833,"And as new discoveries bring new discoveries , progress is going faster and faster .","And as new discoveries bring more discoveries , progress is going faster and faster ."
3473343681,7/5/2023 15:47:10,6660153147,7/5/2023 15:45:22,False,cf_internal,1.0,47004074,US,Illinois,Chicago,89.187.180.28,,,,"- A comma is added after ""Lord"" because commas surround interrupter phrases in English. 
- A comma was added before the closing quotes because commas occur between direct quotes.",""" Yes , Oh Lord {=>,} he did it because we {won=>beat} his team at football {=>,} "" Nick said .",fce_test_687,""" Yes , Oh Lord he did it because we won his team at football "" Nick said .",""" Yes , Oh Lord , he did it because we beat his team at football , "" Nick said ."
3473343684,7/8/2023 02:00:15,6660997755,7/8/2023 01:58:46,False,cf_internal,1.0,46799689,US,Georgia,Atlanta,46.248.130.164,,,,"- ""The"" is removed because the text refers to ""technology"" in general.
- The addition of ""anyone in"" is a stylistic revision.",Another point is that with the help of {the=>} technology we can communicate with {=>anyone in} the whole world .,fce_test_18,Another point is that with the help of the technology we can communicate with the whole world .,Another point is that with the help of technology we can communicate with anyone in the whole world .
3473343686,7/4/2023 19:36:31,6659842693,7/4/2023 19:16:51,False,cf_internal,1.0,46470821,US,North Carolina,Greenville,152.117.96.129,,,,"- The word ""to"" was added to form the verb phrase ""write to."" When the preposition ""to"" is added to the verb ""write,"" it conveys the idea that a letter is being sent to someone.",This is a precise letter that I write {=>to} you now .,fce_test_620,This is a precise letter that I write you now .,This is a precise letter that I write to you now .
3473343688,7/18/2023 17:19:25,6664471490,7/18/2023 17:17:44,False,cf_internal,1.0,47003953,US,South Carolina,Rock Hill,67.197.134.125,,,,"-The conjunction was inserted to remove the comma splice. Conjunctions are necessary if two independent clauses are connected with a comma.
-The verb form was changed to fulfill the subject-verb agreement with ""art exhibitions.""","Your dance shows are very beautiful , {=>and} art exhibitions {is=>are} something original and exciting .",fce_test_744,"Your dance shows are very beautiful , art exhibitions is something original and exciting .","Your dance shows are very beautiful , and art exhibitions are something original and exciting ."
3473343689,7/18/2023 16:42:10,6664465927,7/18/2023 16:41:51,False,cf_internal,1.0,46922503,US,Mississippi,Ocean Springs,96.18.31.82,,,,"- A space was added to separate the article ""a"" from the noun ""box.""",It was {abox=>a box} office bomb .,wiki_test_446,It was abox office bomb .,It was a box office bomb .
3473343694,7/10/2023 00:42:25,6661174523,7/10/2023 00:33:08,False,cf_internal,1.0,47137882,US,Arizona,Chandler,68.107.140.188,,,,"-The word ""high"" was replaced with the word ""tall"" because this lexical choice is a more suitable equivalent. ""high"" is used for things that are very wide and a long way above the ground, but ""tall"" is used for buildings because they above average in height and narrower.",I believe there are a lot of {high=>tall} buildings now in Japan .,fce_test_777,I believe there are a lot of high buildings now in Japan .,I believe there are a lot of tall buildings now in Japan .
3473343695,7/6/2023 07:13:22,6660409706,7/6/2023 07:12:48,False,cf_internal,1.0,46922503,IT,Veneto,Verona,213.171.96.178,,,,"- The misspelling ""avalable"" was corrected to ""available.""
- The misspelling ""successfull"" was corrected to ""successful.""","Many speculate that if the Escort ZX2 's more powerful 130 HP Zetec engine would have been {avalable=>available} or standard on the Tracer , it would have proved much more {successfull=>successful} .",wiki_test_360,"Many speculate that if the Escort ZX2 's more powerful 130 HP Zetec engine would have been avalable or standard on the Tracer , it would have proved much more successfull .","Many speculate that if the Escort ZX2 's more powerful 130 HP Zetec engine would have been available or standard on the Tracer , it would have proved much more successful ."
