_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,are_these_explanations_acceptable,please_include_your_reasons_for_rejecting_the_item,orig__channel,orig__city,orig__country,orig__created_at,orig__id,orig__ip,orig__region,orig__started_at,orig__tainted,orig__trust,orig__unit_id,orig__worker_id,aligned,comments,describe_why_this_is_not_annotatable,id,not_annotatable,original,please_explain_the_revisions_write_na_if_not_annotatable,revised
3476786111,7/14/2023 18:08:35,6663557369,7/14/2023 18:05:51,False,cf_internal,1.0,46282460,US,North Carolina,Durham,45.37.101.164,accept,,cf_internal,Durham,US,7/5/2023 15:09:56,6660146908,45.37.101.164,North Carolina,7/5/2023 15:08:53,False,1.0,3473346343,46282460,"In the end he wins {=>,} but before he is able to get back he has to "" sacrifice "" his fish to attacking sharks .",,,fce_test_117,,"In the end he wins but before he is able to get back he has to "" sacrifice "" his fish to attacking sharks .",-This comma is added because two independent clauses are being joined with a coordinating conjunction.,"In the end he wins , but before he is able to get back he has to "" sacrifice "" his fish to attacking sharks ."
3476786112,7/14/2023 15:21:51,6663535530,7/14/2023 15:21:39,False,cf_internal,1.0,46282460,US,North Carolina,Durham,45.37.101.164,accept,,cf_internal,Durham,US,6/30/2023 15:52:06,6658820923,45.37.101.164,North Carolina,6/30/2023 15:50:21,False,1.0,3473343885,46282460,Some people think that going shopping can {keep you away from=>help with} depression .,,,fce_test_135,,Some people think that going shopping can keep you away from depression .,-This edit makes the sentence sound more natural since 'depression' is a state not an object existing in physical space.,Some people think that going shopping can help with depression .
3476786113,7/14/2023 12:14:20,6663502562,7/14/2023 12:13:53,False,cf_internal,1.0,46282460,US,North Carolina,Durham,45.37.101.164,accept,,cf_internal,Durham,US,7/3/2023 13:25:30,6659349210,45.37.101.164,North Carolina,7/3/2023 13:17:59,False,1.0,3473346438,46282460,"On {19 March=>the 19th of March,} 2012 , the teaser for the MV was released , showing individual {member=>members'} black-and-white footage {sceaching=>of them searching} for their ' {Venus=>Venus.} ' {.=>}",,,wiki_test_291,,"On 19 March 2012 , the teaser for the MV was released , showing individual member black-and-white footage sceaching for their ' Venus ' .","-This edit changes the date format to reflect the conventions of American English.
-This edit makes 'member' plural and adds the possessive apostrophe, which better fits in the context of this sentence.
-This edit corrects the spelling of 'searching' and adds 'of them' in order to provide a subject for that verb.
-These two edits put the punctuation within the quotation marks to reflect the conventions of American English.","On the 19th of March, 2012 , the teaser for the MV was released , showing individual members' black-and-white footage of them searching for their ' Venus. '"
3476786114,7/14/2023 17:37:44,6663553880,7/14/2023 17:35:34,False,cf_internal,1.0,46282460,US,North Carolina,Durham,45.37.101.164,accept,,cf_internal,Durham,US,6/30/2023 19:33:14,6658858569,45.37.101.164,North Carolina,6/30/2023 19:31:26,False,1.0,3473345365,46282460,"Rok Mašina was formed in 1980 by former members of the progressive / hard rock band Pop Mašina , and {release=>released} only {an=>one} album before disbanding .",,,wiki_dev_703,,"Rok Mašina was formed in 1980 by former members of the progressive / hard rock band Pop Mašina , and release only an album before disbanding .","-This edit changes the verb 'release' to the past tense to better reflect the context of the sentence.
-'One' is a better choice here and sounds more natural to a native english speaker.","Rok Mašina was formed in 1980 by former members of the progressive / hard rock band Pop Mašina , and released only one album before disbanding ."
3476786115,7/14/2023 18:13:48,6663557793,7/14/2023 18:13:41,False,cf_internal,1.0,46282460,US,North Carolina,Durham,45.37.101.164,accept,,cf_internal,Durham,US,7/3/2023 15:25:32,6659380346,45.37.101.164,North Carolina,7/3/2023 15:25:17,False,1.0,3473347273,46282460,The computer is {helpfull=>helpful} when I want to contact somebody very fast .,,,fce_dev_321,,The computer is helpfull when I want to contact somebody very fast .,-This edit corrects the spelling of 'helpful.',The computer is helpful when I want to contact somebody very fast .
3476786116,7/14/2023 17:28:34,6663552840,7/14/2023 17:28:18,False,cf_internal,1.0,46282460,US,North Carolina,Durham,45.37.101.164,accept,,cf_internal,Durham,US,6/30/2023 18:58:53,6658852996,45.37.101.164,North Carolina,6/30/2023 18:56:48,False,1.0,3473344725,46282460,I have {to choose=>chosen} painting and {the=>} photography {therefore=>} .,,,fce_test_729,,I have to choose painting and the photography therefore .,"-This is a meaning-changing edit that is incorrect.
-'The' is deleted because it sounds unnatural in this context for the definite article to be used here with 'photography.'
-'Therefore' is deleted here because it sounds unnatural. It could be kept and sound more natural if it was placed at the beginning of the sentence.",I have chosen painting and photography .
3476786117,7/14/2023 18:08:48,6663557377,7/14/2023 18:08:36,False,cf_internal,1.0,46282460,US,North Carolina,Durham,45.37.101.164,accept,,cf_internal,Durham,US,7/3/2023 14:20:28,6659363663,45.37.101.164,North Carolina,7/3/2023 14:18:40,False,1.0,3473345216,46282460,"I always dreamed about going to {the=>} California {=>,} and now my dreams are coming {truth=>true} .",,,fce_test_272,,I always dreamed about going to the California and now my dreams are coming truth .,"-This edit deletes 'the' because California is a proper noun and cannot take an article.
-A comma is added here because two independent clauses are being joined with a coordinating conjunction.
-The adjective 'true' should be used here instead of the noun, 'truth.'","I always dreamed about going to California , and now my dreams are coming true ."
3476786119,7/14/2023 12:24:17,6663504924,7/14/2023 12:24:02,False,cf_internal,1.0,46282460,US,North Carolina,Durham,45.37.101.164,accept,,cf_internal,Durham,US,7/3/2023 14:23:26,6659364484,45.37.101.164,North Carolina,7/3/2023 14:20:30,False,1.0,3473345379,46282460,"After the concert {=>,} many people {=>got} lost {=>on} their way home {,=>. They were} mostly foreigners who did n't know the {buses '=>bus} schedule .",,,fce_dev_617,,"After the concert many people lost their way home , mostly foreigners who did n't know the buses ' schedule .","-This edits adds a comma after this introductory phrase.
-This edit adds 'got' because 'lost' on its own is transitive and does not express the intended meaning.
-This edit fixes the run-on sentence by making it two sentences.
-'Bus schedule' is more natural here than ""buses' schedule.""","After the concert , many people got lost on their way home . They were mostly foreigners who did n't know the bus schedule ."
3476786121,7/14/2023 15:47:42,6663539375,7/14/2023 15:46:52,False,cf_internal,1.0,46282460,US,North Carolina,Durham,45.37.101.164,reject,the_explanation_is_incorrect_confusing_or_slightly_off,cf_internal,Durham,US,7/10/2023 18:30:42,6661730295,45.37.101.164,North Carolina,7/10/2023 18:18:51,False,1.0,3473344971,46282460,"Without {=>a} doubt , discovering {of=>} the computer {is=>has been} the most important technological event .",,,fce_test_522,,"Without doubt , discovering of the computer is the most important technological event .","-""Doubt"" is a noun and needs an article.
-If the phrasing was ""the discovery of,"" ""of"" would be appropriate here. Because ""discovering"" is a transitive verb though, it requires a direct object, in this case ""the computer.""
-Because this event took place in the past, using a past tense conjugation for the verb makes more sense.","Without a doubt , discovering the computer has been the most important technological event ."
3476786122,7/14/2023 15:19:02,6663535050,7/14/2023 15:18:37,False,cf_internal,1.0,46282460,US,North Carolina,Durham,45.37.101.164,accept,,cf_internal,Durham,US,7/3/2023 19:02:07,6659433374,45.37.101.164,North Carolina,7/3/2023 18:59:31,False,1.0,3473344967,46282460,"I like to go very often {,=>} to look around and to buy some new clothes {. As=>, as} long as I am not searching for something specific .",,,fce_dev_473,,"I like to go very often , to look around and to buy some new clothes . As long as I am not searching for something specific .","-This ungrammatical comma splice is removed by the edit.
-This sentence is not grammatical by itself, so it is attached to the previous sentence with a comma.","I like to go very often to look around and to buy some new clothes , as long as I am not searching for something specific ."
